iter	Logloss
0	0.6758283171
1	0.6603724399
2	0.6470144554
3	0.6338071656
4	0.6222385142
5	0.6113730014
6	0.60184138
7	0.5932320551
8	0.5849081997
9	0.577410408
10	0.5708630782
11	0.5648427906
12	0.5587230291
13	0.5537129793
14	0.549204812
15	0.544748522
16	0.5405889483
17	0.5368726681
18	0.5327096647
19	0.5292623971
20	0.5258867804
21	0.5228527441
22	0.5199919995
23	0.5172672232
24	0.5147273308
25	0.5121214721
26	0.5098457871
27	0.5077146631
28	0.505740132
29	0.5036067939
30	0.5019597574
31	0.5002110958
32	0.49835878
33	0.496947236
34	0.4953181515
35	0.4939338557
36	0.4927312624
37	0.4912411989
38	0.4898337
39	0.4887779321
40	0.4874080519
41	0.486090941
42	0.4849351119
43	0.483812467
44	0.4828525707
45	0.4816000221
46	0.4807388836
47	0.4797501121
48	0.4786599102
49	0.4778810724
50	0.4769729026
51	0.4761027347
52	0.4752010441
53	0.4744022099
54	0.4735080631
55	0.4728047235
56	0.4720881335
57	0.4714040618
58	0.4707804131
59	0.4700650762
60	0.469296521
61	0.4685412224
62	0.4679055827
63	0.4672008738
64	0.4665721969
65	0.4661197985
66	0.4656082052
67	0.4651603262
68	0.4645666425
69	0.4640149932
70	0.463558377
71	0.4630601973
72	0.4626077299
73	0.4621990714
74	0.4617421033
75	0.4613624017
76	0.4609301569
77	0.4604351587
78	0.4600823284
79	0.4598171757
80	0.4593824498
81	0.4590347451
82	0.4586672794
83	0.4582915852
84	0.4579609562
85	0.4576801913
86	0.457196556
87	0.4569202854
88	0.4565720248
89	0.4562549728
90	0.4559318468
91	0.4556633494
92	0.4553651884
93	0.4550452219
94	0.4546320032
95	0.4544005089
96	0.4541597496
97	0.453791593
98	0.4534513567
99	0.4532597927
100	0.4530408452
101	0.4528157076
102	0.4525653003
103	0.4523596378
104	0.4521572228
105	0.4519265765
106	0.4516917656
107	0.4513842926
108	0.4511661775
109	0.4509768935
110	0.4508131462
111	0.450560933
112	0.4502387429
113	0.4500632779
114	0.4497635434
115	0.4495930155
116	0.4493611191
117	0.4491493418
118	0.4488500722
119	0.4486605684
120	0.4484163451
121	0.4482312036
122	0.4480620607
123	0.4478595451
124	0.4476889324
125	0.4474927327
126	0.4473005593
127	0.4471416643
128	0.4470173385
129	0.4468637229
130	0.4466731701
131	0.44649306
132	0.4463489512
133	0.44615484
134	0.4460234163
135	0.4458333943
136	0.4456738115
137	0.4455268981
138	0.4454317269
139	0.4453120335
140	0.445100341
141	0.444931889
142	0.4447645362
143	0.4446470915
144	0.4445281048
145	0.4443669893
146	0.444172539
147	0.4439994483
148	0.4438421016
149	0.4436513981
150	0.4435109952
151	0.4433820055
152	0.4432535874
153	0.4430913067
154	0.4429782872
155	0.4428252872
156	0.4426934269
157	0.4425551629
158	0.4424149014
159	0.4422865335
160	0.4421217655
161	0.4420115506
162	0.4419136313
163	0.441763282
164	0.4416424392
165	0.441527953
166	0.4414292109
167	0.4412794803
168	0.4411168196
169	0.4409985521
170	0.4408641542
171	0.4407142697
172	0.4405957541
173	0.4404749552
174	0.4403492914
175	0.4402355998
176	0.4401607486
177	0.4400267904
178	0.4399472125
179	0.4397898125
180	0.4396584108
181	0.4395324298
182	0.4394178839
183	0.439278841
184	0.4391453947
185	0.4390640675
186	0.4389701369
187	0.4388647648
188	0.4387567735
189	0.4386636846
190	0.4385792953
191	0.4384687852
192	0.4383845372
193	0.4382466563
194	0.4381328547
195	0.4380086608
196	0.4378894825
197	0.4377920123
198	0.4376764677
199	0.4375637372
200	0.4374698882
201	0.437354441
202	0.4372646529
203	0.4371093508
204	0.4369931404
205	0.4368901207
206	0.4367555626
207	0.4366404577
208	0.4365227178
209	0.436384058
210	0.436252383
211	0.4361380413
212	0.4360282536
213	0.4359047317
214	0.4357842343
215	0.43567477
216	0.4355021724
217	0.4353906635
218	0.4353163054
219	0.4352090239
220	0.43507179
221	0.4349884747
222	0.4348949838
223	0.4347690814
224	0.4346400163
225	0.4344960582
226	0.4343888646
227	0.4342707918
228	0.4341523201
229	0.4340440053
230	0.4339067557
231	0.4337977625
232	0.4337076603
233	0.4335754734
234	0.4334333589
235	0.4333316897
236	0.4331975902
237	0.4330532835
238	0.4329266838
239	0.4328156932
240	0.4327344414
241	0.432610282
242	0.4325485713
243	0.432420194
244	0.4323178056
245	0.4322081277
246	0.43207878
247	0.4319612065
248	0.4318929507
249	0.4317556571
250	0.4316657748
251	0.4316044316
252	0.4314815285
253	0.4314026416
254	0.4312697166
255	0.4312063822
256	0.431090489
257	0.4310214481
258	0.4308666108
259	0.4307652588
260	0.4307063339
261	0.4306243597
262	0.4305515092
263	0.4304182796
264	0.4302709516
265	0.4301747566
266	0.4300530846
267	0.4299311676
268	0.4298063675
269	0.4297101505
270	0.4295886135
271	0.4294824689
272	0.4293475057
273	0.4292659147
274	0.4291884474
275	0.4291285834
276	0.4290150268
277	0.4288720204
278	0.4287141806
279	0.4285585299
280	0.4284573884
281	0.4283505685
282	0.4282510569
283	0.4281417968
284	0.4280189722
285	0.4279135185
286	0.4278566319
287	0.4277079691
288	0.4276384382
289	0.4275228654
290	0.4273963505
291	0.4272922661
292	0.4271642814
293	0.4270497921
294	0.4269313801
295	0.4268345946
296	0.4267180764
297	0.4265585941
298	0.426495734
299	0.4264054748
300	0.4263147853
301	0.4261856825
302	0.4261105079
303	0.4260020674
304	0.4258703642
305	0.4258074506
306	0.4256734359
307	0.4255348389
308	0.4254035942
309	0.425291721
310	0.4251614436
311	0.4250894662
312	0.4250027905
313	0.4249232597
314	0.4247999389
